story,novel_word,key,thematic_dist,text_dist,taxonomic_dist,thematic_pdist,text_pdist,taxonomic_pdist
alex,koob,tree,leaf,apple,flower,bird,honey,grass
billy,poip,money,bag,pocket,gold,jar,restroom,diamond
cathy,manu,book,shelf,farm,newspaper,table,library,photo
david,vab,paper,clip,pencil,chalkboard,stapler,crayon,whiteboard
john,dage,bed,pillow,baseball,chair,blanket,soccer_ball,dresser
kyla,loche,car,road,princess,ship,street,prince,bike
mark,terb,cake,fork,candle,doughnut,plate,gift,pizza
shirley,bosa,hair,hairbrush,witch_hat,face,comb,dress,eyebrow
winter,zab,snow,sled,dog,rain,skateboard,squirrel,ice
zoey,geag,sky,moon,sandcastle,ocean,star,bucket,sand
